species_work,status,lower_limit,upper_limit,upper_limit_max,lower_limit_min,diff,n
Alysicarpus vaginalis,introduced,23.399999999999977,27.19999999999999,33,17.899999999999977,3.8000000000000114,10
Alyxia buxifolia,native,13.199999999999989,21.19999999999999,27.599999999999966,7.399999999999977,8,119
Alyxia ruscifolia,native,21,23.69999999999999,27.80000000000001,14.399999999999977,2.6999999999999886,6
Alyxia spicata,native,23.5,27.30000000000001,30.5,17.899999999999977,3.8000000000000114,44
Amaranthus interruptus,native,23.69999999999999,27.399999999999977,30.599999999999966,18.399999999999977,3.6999999999999886,18
Amaranthus undulatus,native,22.099999999999966,28.30000000000001,35.19999999999999,15.399999999999977,6.2000000000000455,22
Amaranthus viridis,introduced,15.399999999999977,27.19999999999999,30.5,9.699999999999989,11.800000000000011,57
Ampelocissus acetosa,native,25.399999999999977,27.5,35.10000000000002,17.599999999999966,2.1000000000000227,34
Amperea xiphoclada,native,12.099999999999966,22.5,30.099999999999966,6.300000000000011,10.400000000000034,17
Amphibolis antarctica,native,14.399999999999977,21.69999999999999,27.69999999999999,10.399999999999977,7.300000000000011,6
Amyema benthamii,native,27.099999999999966,28.30000000000001,35.19999999999999,19.099999999999966,1.2000000000000455,11
Amyema congener,native,16.5,24.5,30.099999999999966,9.199999999999989,8,9
Amyema linophylla,native,18,22.5,30.099999999999966,10.199999999999989,4.5,6
Amyema mackayensis,native,23.5,27.19999999999999,30.5,18.899999999999977,3.6999999999999886,6
Amyema miquelii,native,18,27.19999999999999,30.5,10.099999999999966,9.199999999999989,11
Amyema sanguinea,native,24.5,27.399999999999977,31,17.899999999999977,2.8999999999999773,7
Ancistrachne uncinulata,native,23.5,26.30000000000001,29.69999999999999,17.899999999999977,2.8000000000000114,6
Andersonia sprengelioides,native,15.599999999999966,16.69999999999999,21.30000000000001,10.699999999999989,1.1000000000000227,12
Angianthus cunninghamii,native,18.399999999999977,22.099999999999966,30.399999999999977,11.5,3.6999999999999886,14
Angianthus preissianus,native,14.199999999999989,18.599999999999966,28.5,10.099999999999966,4.399999999999977,16
Anisomeles inodora,native,24.5,27.5,35.10000000000002,17.599999999999966,3,28
Anthobolus filifolius,native,26.5,26.69999999999999,29.19999999999999,22.899999999999977,0.19999999999998863,14
Anthocercis littorea,native,16.5,19.5,28.5,10.099999999999966,3,8
Anthocercis viscosa,native,15.599999999999966,23.599999999999966,27.30000000000001,10.300000000000011,8,11
Anthosachne scabra,native,11.599999999999966,21,25.69999999999999,6.899999999999977,9.400000000000034,43
Anthoxanthum odoratum,introduced,11.599999999999966,15.800000000000011,23.899999999999977,6.300000000000011,4.2000000000000455,12
Antiaris toxicaria,native,26.19999999999999,26.599999999999966,29.30000000000001,22.80000000000001,0.39999999999997726,22
Antidesma ghaesembilla,native,24.5,27.5,35.10000000000002,17.599999999999966,3,22
Antidesma parvifolium,native,23.69999999999999,26.399999999999977,29.69999999999999,17.899999999999977,2.6999999999999886,9
Antigonon leptopus,introduced,22.5,27.19999999999999,30.5,17.80000000000001,4.699999999999989,7
Aotus ericoides,native,12.199999999999989,21.30000000000001,25.80000000000001,6.300000000000011,9.100000000000023,14
Apalochlamys spectabilis,native,13.599999999999966,16.30000000000001,23.899999999999977,9.699999999999989,2.7000000000000455,32
Aphanopetalum clematideum,native,20.399999999999977,21.69999999999999,27.69999999999999,15.5,1.3000000000000114,6
Apium annuum,native,14.300000000000011,20.399999999999977,29.599999999999966,9.800000000000011,6.099999999999966,43
Apium insulare,native,13.599999999999966,14.599999999999966,21.19999999999999,9.699999999999989,1,41
Apium prostratum,native,11.599999999999966,23.599999999999966,30.099999999999966,7.300000000000011,12,305
Apodasmia brownii,native,12.300000000000011,14.199999999999989,19.099999999999966,6.899999999999977,1.8999999999999773,8
Araucaria cunninghamii,native,21,25.399999999999977,29.69999999999999,14.399999999999977,4.399999999999977,8
Araucaria heterophylla,native,12.199999999999989,22.5,27.599999999999966,8.5,10.300000000000011,6
Archidendron grandiflorum,native,24.69999999999999,26.399999999999977,28.80000000000001,21,1.6999999999999886,7
Arctotheca calendula,introduced,13.599999999999966,19.5,29.599999999999966,9.599999999999966,5.900000000000034,91
Arctotheca populifolia,introduced,14.599999999999966,19.5,29.599999999999966,9.099999999999966,4.900000000000034,27
Arenga australasica,native,24.69999999999999,26.69999999999999,29.19999999999999,21,2,8
Argemone ochroleuca,introduced,16.5,22.899999999999977,26.599999999999966,10.5,6.399999999999977,17
Argusia argentea,native,22.5,27.399999999999977,29.19999999999999,16.80000000000001,4.899999999999977,166
Aristida contorta,native,21.69999999999999,25.599999999999966,30.399999999999977,15.399999999999977,3.8999999999999773,6
Aristida holathera,native,21.30000000000001,27.399999999999977,30.5,15.599999999999966,6.099999999999966,14
Aristolochia acuminata,native,26.19999999999999,27.5,32.69999999999999,21,1.3000000000000114,6
Aristolochia chalmersii,native,25.399999999999977,26.399999999999977,28.30000000000001,22.80000000000001,1,6
Arivela tetrandra,native,26.30000000000001,27.5,35.10000000000002,17.599999999999966,1.1999999999999886,12
Arivela viscosa,native,23.69999999999999,28.30000000000001,35.19999999999999,17.899999999999977,4.600000000000023,81
Arundinella nepalensis,native,22.5,27.399999999999977,32.69999999999999,16.80000000000001,4.899999999999977,8
Arytera bifoliolata,native,26.19999999999999,26.69999999999999,28.80000000000001,24.19999999999999,0.5,7
Arytera divaricata,native,22.5,26.30000000000001,29.69999999999999,16.80000000000001,3.8000000000000114,8
Asparagus asparagoides,introduced,14,18.5,28.399999999999977,9.099999999999966,4.5,12
Asparagus racemosus,native,25.399999999999977,27.5,35.10000000000002,17.599999999999966,2.1000000000000227,30
Asphodelus fistulosus,introduced,14,18.599999999999966,27.599999999999966,11,4.599999999999966,13
Asplenium decurrens,native,11.599999999999966,14.5,20.19999999999999,8,2.900000000000034,46
Asplenium difforme,native,18.099999999999966,22.5,30.099999999999966,10.699999999999989,4.400000000000034,6
Asplenium flabellifolium,native,12.399999999999977,17.80000000000001,25.69999999999999,6.899999999999977,5.400000000000034,22
Asplenium obtusatum,native,12.599999999999966,16.5,22.099999999999966,8.899999999999977,3.900000000000034,26
Astartea fascicularis,native,16.30000000000001,16.69999999999999,22.5,11.300000000000011,0.39999999999997726,14
Asteridea nivea,native,16.099999999999966,16.69999999999999,22.19999999999999,11.399999999999977,0.6000000000000227,13
Asteromyrtus symphyocarpa,native,26.30000000000001,26.69999999999999,30.5,22.099999999999966,0.39999999999997726,14
Astroloma humifusum,native,12.199999999999989,15.800000000000011,23.899999999999977,6.300000000000011,3.6000000000000227,15
Asystasia australasica,native,26.19999999999999,26.399999999999977,29,24.19999999999999,0.19999999999998863,9
Asystasia gangetica,native,26.19999999999999,26.399999999999977,28.80000000000001,24.19999999999999,0.19999999999998863,6
Atalaya salicifolia,native,27.099999999999966,27.5,33,20.19999999999999,0.4000000000000341,7
Atalaya variifolia,native,26.599999999999966,28.30000000000001,35.19999999999999,19.5,1.7000000000000455,8
Atriplex amnicola,native,20.19999999999999,22.099999999999966,30.399999999999977,15.399999999999977,1.8999999999999773,7
Atriplex australasica,native,14,17.599999999999966,23.899999999999977,10.099999999999966,3.599999999999966,8
Atriplex cinerea,native,12.800000000000011,21.80000000000001,30.399999999999977,6.300000000000011,9,320
Atriplex hypoleuca,native,15.800000000000011,18,28.5,10.099999999999966,2.1999999999999886,17
Atriplex isatidea,native,16.69999999999999,25.599999999999966,29.899999999999977,11.099999999999966,8.899999999999977,42
Atriplex muelleri,native,15.800000000000011,23.69999999999999,27.80000000000001,8.800000000000011,7.899999999999977,14
Atriplex paludosa,native,14.399999999999977,20.399999999999977,26.69999999999999,8.800000000000011,6,116
Atriplex patula,introduced,15.699999999999989,18.599999999999966,27.5,10.5,2.8999999999999773,11
Atriplex prostrata,introduced,12.199999999999989,18.599999999999966,28.5,6.300000000000011,6.399999999999977,78
Atriplex suberecta,native,14.199999999999989,16.69999999999999,23.899999999999977,9.699999999999989,2.5,10
Austrostipa compressa,native,18,18,28.5,10.099999999999966,0,6
Austrostipa crinita,native,20.399999999999977,22,27.69999999999999,15.5,1.6000000000000227,11
Austrostipa elegantissima,native,15.399999999999977,22.099999999999966,30.399999999999977,9.5,6.699999999999989,66
Austrostipa eremophila,native,15.800000000000011,16.69999999999999,24,10.199999999999989,0.8999999999999773,21
Austrostipa flavescens,native,12.399999999999977,20.399999999999977,28.5,6.300000000000011,8,115
Austrostipa stipoides,native,11.599999999999966,16.899999999999977,24.399999999999977,6.300000000000011,5.300000000000011,135
Austrostipa variabilis,native,20.19999999999999,20.399999999999977,24.30000000000001,16.5,0.19999999999998863,12
Avena barbata,introduced,14.300000000000011,22.099999999999966,31.30000000000001,9.5,7.7999999999999545,98
Avena fatua,introduced,14.300000000000011,20.399999999999977,28.5,10.099999999999966,6.099999999999966,42
Avena sativa,introduced,12.199999999999989,22.5,30.099999999999966,8.800000000000011,10.300000000000011,6
Avicennia marina,native,16.399999999999977,27.19999999999999,30.5,9.099999999999966,10.800000000000011,155
Axonopus compressus,introduced,21.5,26.399999999999977,29.69999999999999,16.19999999999999,4.899999999999977,6
Balladonia aervoides,native,20.399999999999977,22,25.899999999999977,16.599999999999966,1.6000000000000227,7
Banksia dentata,native,26.30000000000001,27.399999999999977,31.80000000000001,21.099999999999966,1.099999999999966,14
Banksia integrifolia,native,14,22.5,30.099999999999966,7.399999999999977,8.5,31
Banksia marginata,native,11.599999999999966,17.80000000000001,25.69999999999999,6.300000000000011,6.2000000000000455,32
Banksia serrata,native,14.599999999999966,22.5,30.099999999999966,9.099999999999966,7.900000000000034,7
Barringtonia acutangula,native,26.30000000000001,27.19999999999999,30.5,22.099999999999966,0.8999999999999773,6
Barringtonia asiatica,native,24.5,26.69999999999999,29.69999999999999,17.899999999999977,2.1999999999999886,8
Barringtonia calyptrata,native,25.399999999999977,26.399999999999977,28.80000000000001,22.80000000000001,1,7
Bauera rubioides,native,12.099999999999966,15.800000000000011,23.899999999999977,8.199999999999989,3.7000000000000455,9
Bauhinia binata,native,25.399999999999977,26.599999999999966,29.30000000000001,22.80000000000001,1.1999999999999886,14
Bauhinia hookeri,native,23.69999999999999,25.599999999999966,29.69999999999999,17.899999999999977,1.8999999999999773,8
Bedfordia salicina,native,11.599999999999966,13.199999999999989,17.80000000000001,8.099999999999966,1.6000000000000227,7
Bellardia trixago,introduced,14,18.599999999999966,27.5,11,4.599999999999966,8
Bellardia viscosa,native,12.199999999999989,18,28.5,8.5,5.800000000000011,11
Beyeria lechenaultii,native,14,17.19999999999999,26.69999999999999,9.5,3.1999999999999886,33
Beyeria viscosa,native,13.199999999999989,20.399999999999977,27.599999999999966,9.5,7.199999999999989,28
Bidens bipinnata,introduced,21.19999999999999,28.30000000000001,35.19999999999999,15.5,7.100000000000023,23
Bidens pilosa,introduced,16.399999999999977,26.399999999999977,30.099999999999966,9,10,51
Billardiera heterophylla,native,15.800000000000011,16.69999999999999,23.899999999999977,11.300000000000011,0.8999999999999773,8
Billardiera longiflora,native,11.599999999999966,13.199999999999989,17.80000000000001,8.099999999999966,1.6000000000000227,9
Billardiera nesophila,native,12.099999999999966,14,20.19999999999999,6.899999999999977,1.900000000000034,8
Blainvillea cunninghamii,native,26.30000000000001,27.19999999999999,33,20.19999999999999,0.8999999999999773,7
Blechnum nudum,native,12.399999999999977,18.599999999999966,24.30000000000001,7.300000000000011,6.199999999999989,8
Blechnum rupestre,native,21,24.5,30.099999999999966,14.399999999999977,3.5,6
Blechnum wattsii,native,11.599999999999966,15.800000000000011,23.899999999999977,6.300000000000011,4.2000000000000455,20
Blumea saxatilis,native,23.69999999999999,27.399999999999977,35.10000000000002,17.599999999999966,3.6999999999999886,23
Blumea tenella,native,27.099999999999966,27.399999999999977,32.69999999999999,20.69999999999999,0.30000000000001137,6
Boerhavia albiflora,native,22.599999999999966,26.399999999999977,29.69999999999999,17.399999999999977,3.8000000000000114,79
Boerhavia coccinea,native,22.099999999999966,27.399999999999977,34.5,15.399999999999977,5.300000000000011,11
Boerhavia diffusa,native,23.599999999999966,26.099999999999966,29.19999999999999,19.5,2.5,35
Boerhavia dominii,native,23.69999999999999,27.399999999999977,34.5,17.899999999999977,3.6999999999999886,12
Boerhavia fistulosa,native,24.80000000000001,26.099999999999966,28.80000000000001,21.19999999999999,1.2999999999999545,14
Boerhavia glabrata,native,25.399999999999977,25.399999999999977,27.899999999999977,22.80000000000001,0,6
Boerhavia mutabilis,native,23.5,26.399999999999977,29.69999999999999,17.899999999999977,2.8999999999999773,34
Boerhavia repens,native,22.69999999999999,25.599999999999966,28.399999999999977,17.899999999999977,2.8999999999999773,16
Bombax ceiba,native,26.19999999999999,27.399999999999977,35.10000000000002,17.599999999999966,1.1999999999999886,22
Bonamia media,native,22.5,27.399999999999977,35.10000000000002,16.80000000000001,4.899999999999977,7
Bonamia pannosa,native,26.599999999999966,28.30000000000001,35.19999999999999,19.80000000000001,1.7000000000000455,8
Boronia alata,native,15.599999999999966,18.599999999999966,27.599999999999966,10.5,3,22
Boronia albiflora,native,16.099999999999966,16.599999999999966,21.69999999999999,11.599999999999966,0.5,6
