species_work,lower_limit_islands,upper_limit_islands,upper_limit_max_islands,lower_limit_min_islands,diff_islands,number_of_islands,number_of_mainland,lower_limit_mainland,upper_limit_mainland,upper_limit_max_mainland,lower_limit_min_mainland,diff_mainland,lower_limit_sd,upper_limit_sd,upper_limit_max_sd,lower_limit_min_sd,diff_sd,min,max,abs_max,abs_min,diff,lower_limit_std,upper_limit_std,upper_limit_max_std,lower_limit_min_std,diff_std
Acacia bivenosa,21.69999999999999,25.59999999999997,29.899999999999977,17.899999999999977,3.8999999999999777,6,526,22.85839999999999,27.23339999999999,39.8056,7.452399999999989,4.374999999999999,1.2903233603924156,0.8185930213082305,0.9352450605714644,1.7355190192752907,1.4410731042149445,-1.1584000000000003,-1.6334000000000195,-9.905600000000021,10.447599999999987,-0.4750000000000214,-0.8977594574802594,-1.995374939050432,-10.591448613422653,6.019870646167072,-0.32961547794536616
Acacia calamifolia,15.899999999999975,16.19999999999999,21.899999999999977,10.899999999999975,0.30000000000001137,8,333,14.841099999999985,18.232399999999988,32.67889999999999,3.710499999999992,3.391300000000002,0.6877599899701983,1.0300345679690632,1.144558781716699,0.5974250301641725,1.2050753157029337,1.0588999999999906,-2.032399999999999,-10.778900000000014,7.189499999999983,-3.0912999999999906,1.5396359419597445,-1.973137662755646,-9.417515441044431,12.034145937983729,-2.5652338569368185
Acacia conniana,16.30000000000001,16.599999999999966,22.5,11.300000000000011,0.2999999999999545,9,35,15.629799999999996,16.544799999999974,28.093599999999984,6.6214999999999895,0.9149999999999762,0.48027348732010394,0.0966555859860166,1.6276204066637172,1.1957246788067637,0.485149843213785,0.67020000000001545,0.055199999999992144,-5.593599999999984,4.678500000000022,-0.6150000000000216,1.3954549182793528,0.5710999466495197,-3.4366735493724234,3.9126900054189613,-1.2676495903328926
Acacia coriacea,21.69999999999999,25.59999999999997,29.899999999999977,17.899999999999977,3.8999999999999777,8,176,22.794099999999993,26.950399999999988,40.4654,8.932899999999986,4.156299999999993,1.13563412015264,0.4845561212435933,0.6018347323352554,1.3587766055771866,1.1735661751974509,-1.0941000000000045,-1.3504000000000183,-10.565400000000025,8.967099999999991,-0.25630000000001507,-0.9634264950166758,-2.7868804887538565,-17.555317817906378,6.599392396950278,-0.21839416082087826
Acacia cyclops,15.599999999999966,19.5,28.399999999999977,10.300000000000011,3.900000000000034,46,272,14.625199999999989,20.097099999999987,32.36069999999999,5.689899999999986,5.471899999999998,0.3724831589531297,1.310923380716851,2.9144604285509876,0.9883849932566316,1.374514343206235,0.974799999999977,-0.5970999999999869,-3.96070000000001,4.610100000000025,-1.5718999999999639,2.617031069913789,-0.45548047184380464,-1.3589822531813176,4.664275592459369,-1.1436039265572893
Acacia deltoidea,27.09999999999997,27.399999999999977,35.10000000000002,17.599999999999966,0.30000000000001137,8,65,25.448899999999988,27.377299999999984,37.5315,13.619499999999992,1.9283999999999957,0.4326962167803322,0.13745400541127445,0.4207550175396482,0.41342553219494016,0.438435474916961,1.6510999999999818,0.02269999999999328,-2.4314999999999785,3.9804999999999744,-1.6283999999999843,3.8158410819621267,0.16514615148589443,-5.778897217240803,9.628094275810406,-3.714115515648912
Acacia genistifolia,12.199999999999989,14.599999999999966,21.19999999999999,6.300000000000011,2.3999999999999773,10,383,11.243399999999989,14.984999999999983,28.43159999999999,1.6767999999999912,3.741599999999997,1.0569927500572882,0.7085174641439679,1.3036721217395877,1.1665172619908029,1.2742186127478556,0.9565999999999999,-0.38500000000001755,-7.2316,4.62320000000002,-1.3416000000000197,0.9050203986244493,-0.5433881583500207,-5.547100286497139,3.963250395549201,-1.0528805548577382
Acacia gonocarpa,26.59999999999997,27.5,35.10000000000002,17.599999999999966,0.9000000000000341,16,271,25.805199999999992,27.88839999999998,38.2428,13.945799999999988,2.0831999999999877,0.36486447632797153,0.3159513653479984,0.6511467976978429,0.7900674443150875,0.4686548809064035,0.7947999999999773,-0.38839999999997943,-3.14279999999998,3.654199999999978,-1.1831999999999536,2.178343060412225,-1.2293031225618662,-4.826561400764747,4.625174757286472,-2.524672308355312
Acacia holosericea,23.5,28.30000000000001,35.19999999999999,17.899999999999977,4.800000000000011,11,836,21.96219999999999,28.01009999999999,38.1409,10.291899999999988,6.0479,1.436786523988694,0.6331262424183981,0.8895664778522804,1.6315349509882682,1.541542066225227,1.5378000000000114,0.2899000000000207,-2.9409000000000134,7.60809999999999,-1.247899999999989,1.0703051388113605,0.4578865644435598,-3.3059923830542246,4.663154776666931,-0.8095140751207138
Acacia humifusa,25.399999999999977,27.399999999999977,30.30000000000001,22.80000000000001,2,13,365,21.142699999999987,27.63819999999999,37.4916,11.743899999999986,6.495500000000001,1.2530510152610903,0.4785078157457112,0.5907947854191644,1.0961497773271427,1.3037060249148973,4.25729999999999,-0.2382000000000133,-7.191599999999987,11.056100000000026,-4.495500000000001,3.397547225252376,-0.49779751168494524,-12.172754698397688,10.086304106140748,-3.4482467013937868
