species_work,lower_limit,upper_limit,upper_limit_max,lower_limit_min,n
Solanum simile,13.399999999999975,20.09999999999997,35,2.1999999999999886,210
Solanum symonii,13.699999999999989,21.19999999999999,37.30000000000001,4.699999999999989,115
Solanum vescum,6.800000000000011,18.19999999999999,32.19999999999999,-3,143
Solanum viridifolium,17.399999999999977,26.69999999999999,34.89999999999998,7.399999999999977,135
Soliva sessilis,11.300000000000011,25.19999999999999,36.19999999999999,0.5999999999999659,170
Sonchus asper,5.800000000000011,24.69999999999999,39.5,-4.100000000000023,379
Sonchus hydrophilus,12.300000000000011,26.5,38.39999999999998,1.8000000000000114,216
Sonchus oleraceus,7.5,28.5,40.89999999999998,-2.5,1807
Sonneratia alba,22.899999999999977,27.899999999999977,35.80000000000001,15.800000000000011,160
Sophora tomentosa,12.5,26.59999999999997,30.899999999999977,1.8999999999999773,125
Sorghum nitidum,18.19999999999999,26.399999999999977,33.099999999999966,8,69
Sorghum plumosum,19.30000000000001,29,40.19999999999999,5.699999999999989,610
Sorghum stipoideum,24.09999999999997,29.30000000000001,40.5,12,313
Spergula arvensis,11,22.59999999999997,38.5,1.5,80
Spergularia diandra,14,22.69999999999999,38.39999999999998,3.5,239
Spergularia marina,6.699999999999989,23,38.60000000000002,-0.19999999999998863,367
Spergularia media,12.899999999999975,17.899999999999977,31.5,2.6999999999999886,42
Spergularia rubra,3.3999999999999773,22.69999999999999,38,-7.100000000000023,220
Spermacoce brachystema,15.699999999999989,28.59999999999997,39.89999999999998,5.399999999999977,375
Sphaeromorphaea australis,14.699999999999989,27.59999999999997,38.69999999999999,3.099999999999966,230
Sphagneticola trilobata,16.599999999999966,28.80000000000001,38.69999999999999,5.800000000000011,216
Spinifex hirsutus,12.599999999999966,26.899999999999977,34.10000000000002,6.699999999999989,94
Spinifex longifolius,16,27.80000000000001,41.39999999999998,7.800000000000011,273
Spinifex sericeus,12.399999999999975,25.5,30.399999999999977,3.099999999999966,240
Sporadanthus tasmanicus,5.5,13.899999999999975,26.19999999999999,-2.5,121
Sporobolus africanus,11.800000000000011,27.5,37.69999999999999,1.099999999999966,389
Sporobolus virginicus,12.899999999999975,29.399999999999977,40.19999999999999,4,884
Sprengelia incarnata,4.599999999999966,19.69999999999999,27.80000000000001,-2.3000000000000114,378
Spyridium globulosum,15.199999999999989,20.399999999999977,33,6.099999999999966,194
Spyridium phylicoides,14.199999999999989,18.399999999999977,31.09999999999997,5.300000000000011,283
Spyridium vexilliferum,8.599999999999966,16.30000000000001,30.09999999999997,0,272
Stachys arvensis,9.300000000000011,24.19999999999999,35,-0.19999999999998863,194
Stachytarpheta jamaicensis,19.30000000000001,28.69999999999999,38.69999999999999,7.599999999999966,220
Stackhousia intermedia,16.69999999999999,29,40.30000000000001,5.199999999999989,532
Stackhousia monogyna,4.300000000000011,23.09999999999997,38.19999999999999,-4.800000000000011,889
Stackhousia spathulata,11.699999999999989,21.5,28,6.699999999999989,127
Stackhousia viminea,9,28.899999999999977,40.5,-1.3000000000000114,270
Stellaria flaccida,5.099999999999966,17.599999999999966,28.399999999999977,-3.1999999999999886,122
Stellaria media,4,23.09999999999997,36.5,-1.6999999999999886,325
Stellaria multiflora,5.199999999999989,20,33.69999999999999,-4.100000000000023,142
Stellaria pallida,9.599999999999966,20.30000000000001,33.5,-0.6000000000000227,154
Stemodia lythrifolia,22.30000000000001,29.09999999999997,39.60000000000002,10.699999999999989,389
Stenocarpus acacioides,25.30000000000001,29.09999999999997,38.80000000000001,13.099999999999966,92
Stenotaphrum micranthum,22.59999999999997,26.19999999999999,28.80000000000001,17.399999999999977,64
Stenotaphrum secundatum,11.399999999999975,23.399999999999977,37.30000000000001,1.1999999999999886,198
Stephania japonica,13.300000000000011,27.80000000000001,38.30000000000001,1.8999999999999773,359
Sterculia quadrifida,17.69999999999999,28,37.80000000000001,7.099999999999966,339
Streblus brunonianus,13.099999999999966,26.30000000000001,33.30000000000001,1.6999999999999886,165
Striga curviflora,19.5,29,41.19999999999999,8.099999999999966,288
Strychnos lucida,22.30000000000001,29,39.39999999999998,12.5,378
Stuartina muelleri,8.800000000000011,22.899999999999977,36.5,-1.6999999999999886,242
Stylidium adnatum,12.899999999999975,17.399999999999977,29,4.5,96
Stylidium armeria,4.800000000000011,17.099999999999966,28.399999999999977,-5.300000000000011,316
Stylidium calcaratum,12.899999999999975,19.59999999999997,34.80000000000001,2.5,214
Stylidium graminifolium,3.5,23.09999999999997,33.69999999999999,-7,726
Stylidium inundatum,13.699999999999989,18.899999999999977,33.39999999999998,4.800000000000011,51
Stylidium perpusillum,10.699999999999989,18.69999999999999,32.89999999999998,2,125
Stylidium tenerum,18.59999999999997,27,37.19999999999999,9.800000000000011,123
Stylobasium spathulatum,19.5,27.899999999999977,41.30000000000001,4.800000000000011,271
Stylosanthes hamata,20,29.09999999999997,39.89999999999998,6.300000000000011,304
Stylosanthes humilis,19.30000000000001,28.59999999999997,38.80000000000001,7.099999999999966,190
